Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Trevor Lawrence,Clemson,QB,Jacksonville,+0,40,2021-03-24,South Carolina
2,1,Zach Wilson,BYU,QB,NY Jets,-2,35,2021-03-24,Utah
3,1,Penei Sewell,Oregon,OT,Miami (Trade),+1,35,2021-03-24,Oregon
4,1,Kyle Pitts,Florida,TE,Atlanta,-3,35,2021-03-24,Florida
5,1,Ja'Marr Chase,LSU,WR,Cincinnati,+2,35,2021-03-24,Louisiana
6,1,DeVonta Smith,Alabama,WR,Philadelphia,-4,35,2021-03-24,Alabama
7,1,Jaylen Waddle,Alabama,WR,Detroit,+1,35,2021-03-24,Alabama
8,1,Justin Fields,Ohio State,QB,Carolina,+3,35,2021-03-24,Ohio
9,1,Micah Parsons,Penn State,ILB,Denver,-5,35,2021-03-24,Pennsylvania
10,1,Caleb Farley,Virginia Tech,CB,Dallas,+2,35,2021-03-24,Virginia
11,1,Rashawn Slater,Northwestern,OT,NY Giants,-1,30,2021-03-24,Illinois
12,1,Trey Lance,North Dakota State,QB,San Francisco,+1,30,2021-03-24,North Dakota
13,1,Patrick Surtain II,Alabama,CB,LA Chargers,+4,30,2021-03-24,Alabama
14,1,Samuel Cosmi,Texas,OT,Minnesota,-8,30,2021-03-24,Texas
15,1,Mac Jones,Alabama,QB,New England,-12,30,2021-03-24,Alabama
16,1,Jaycee Horn,South Carolina,CB,Arizona,+1,30,2021-03-24,South Carolina
17,1,Teven Jenkins,Oklahoma State,OT,Las Vegas,-36,30,2021-03-24,Oklahoma
18,1,Gregory Rousseau,Miami (FL),EDGE,Miami,+5,30,2021-03-24,Florida
19,1,Rashod Bateman,Minnesota,WR,Washington,-1,30,2021-03-24,Minnesota
20,1,Christian Darrisaw,Virginia Tech,OT,Chicago,-1,30,2021-03-24,Virginia
21,1,Alex Leatherwood,Alabama,OT,Indianapolis,-17,25,2021-03-24,Alabama
22,1,Kadarius Toney,Florida,WR,Tennessee,-17,25,2021-03-24,Florida
23,1,Wyatt Davis,Ohio State,OG,NY Jets (Trade),+7,25,2021-03-24,Ohio
24,1,Zaven Collins,Tulsa,OLB,Pittsburgh,-13,25,2021-03-24,Oklahoma
25,1,Jalen Mayfield,Michigan,OT,Jacksonville (Trade),-21,25,2021-03-24,Michigan
26,1,Nick Bolton,Missouri,ILB,Cleveland,-6,25,2021-03-24,Missouri
27,1,Terrace Marshall,LSU,WR,Baltimore,-9,25,2021-03-24,Louisiana
28,1,Rondale Moore,Purdue,WRS,New Orleans,+10,25,2021-03-24,Indiana
29,1,Greg Newsome II,Northwestern,CB,Green Bay,+0,25,2021-03-24,Illinois
30,1,Travis Etienne,Clemson,RB,Buffalo,+6,25,2021-03-24,South Carolina
31,1,Liam Eichenberg,Notre Dame,OT,Kansas City,-46,25,2021-03-24,Indiana
32,1,Christian Barmore,Alabama,DL3T,Tampa Bay,+15,25,2021-03-24,Alabama
33,2,Kwity Paye,Michigan,EDGE,Jacksonville,+14,20,2021-03-24,Michigan
34,2,Asante Samuel Jr.,Florida State,CB,NY Jets,+8,20,2021-03-24,Florida
35,2,Najee Harris,Alabama,RB,Atlanta,+0,20,2021-03-24,Alabama
36,2,Alijah Vera-Tucker,USC,OG,Miami (Trade),+2,20,2021-03-24,California
37,2,Jeremiah Owusu-Koramoah,Notre Dame,OLB,Philadelphia,+6,20,2021-03-24,Indiana
38,2,Azeez Ojulari,Georgia,EDGE,Cincinnati,+13,20,2021-03-24,Georgia
39,2,Richie Grant,UCF,S,Carolina,+9,20,2021-03-24,Florida
40,2,Trevon Moehrig,TCU,S,Denver,+17,20,2021-03-24,Texas
41,2,Marvin Wilson,Florida State,DL1T,Detroit,-6,20,2021-03-24,Florida
42,2,Joseph Ossai,Texas,EDGE,NY Giants,+9,20,2021-03-24,Texas
43,2,Jaelan Phillips,Miami (FL),EDGE,San Francisco,-5,20,2021-03-24,Florida
44,2,Carlos Basham Jr.,Wake Forest,EDGE,Dallas,-10,20,2021-03-24,North Carolina
45,2,Daviyon Nixon,Iowa,DL3T,Jacksonville (Trade),+17,20,2021-03-24,Iowa
46,2,Trey Smith,Tennessee,OG,New England,+6,20,2021-03-24,Tennessee
47,2,Jayson Oweh,Penn State,EDGE,LA Chargers,-4,20,2021-03-24,Pennsylvania
48,2,Andre Cisco,Syracuse,S,Las Vegas,+3,20,2021-03-24,New York
49,2,Jevon Holland,Oregon,S,Arizona,-12,15,2021-03-24,Oregon
50,2,Dylan Moses,Alabama,OLB,Miami,+1,15,2021-03-24,Alabama
51,2,Pat Freiermuth,Penn State,TE,Washington,+1,15,2021-03-24,Pennsylvania
52,2,Tyson Campbell,Georgia,CB,Chicago,+9,15,2021-03-24,Georgia
53,2,Elijah Molden,Washington,CB,Tennessee,-5,15,2021-03-24,Washington
54,2,Ben Cleveland,Georgia,OG,Indianapolis,-6,15,2021-03-24,Georgia
55,2,Javonte Williams,North Carolina,RB,Pittsburgh,-7,15,2021-03-24,North Carolina
56,2,Creed Humphrey,Oklahoma,OC,Seattle,+14,15,2021-03-24,Oklahoma
57,2,Patrick Jones II,Pitt,EDGE,LA Rams,-11,15,2021-03-24,Pennsylvania
58,2,Landon Dickerson,Alabama,OC,Baltimore,-5,15,2021-03-24,Alabama
59,2,Ifeatu Melifonwu,Syracuse,CB,Cleveland,-19,15,2021-03-24,New York
60,2,Jabril Cox,LSU,OLB,New Orleans,+5,15,2021-03-24,Louisiana
61,2,Shaun Wade,Ohio State,S,Buffalo,-6,15,2021-03-24,Ohio
62,2,Jay Tufele,USC,DL3T,Green Bay,+18,15,2021-03-24,California
63,2,Quinn Meinerz,UW–Whitewater,OC,Kansas City,-18,15,2021-03-24,Wisconsin
64,2,Jackson Carman,Clemson,OT,Tampa Bay,-11,15,2021-03-24,South Carolina
106,4,Spencer K. Brown,Northern Iowa,OT,Jacksonville,-37,8,2021-03-24,Iowa
107,4,Kenneth Gainwell,Memphis,RB,NY Jets,+24,8,2021-03-24,Tennessee
108,4,Divine Deablo,Virginia Tech,S,Atlanta,-7,8,2021-03-24,Virginia
109,4,Kenny Yeboah,Ole Miss,TE,Houston,-3,8,2021-03-24,Mississippi
110,4,Charles Snowden,Virginia,OLB,Cleveland (Trade),-15,8,2021-03-24,Virginia
111,4,Chuba Hubbard,Oklahoma State,RB,Cincinnati,+19,8,2021-03-24,Oklahoma
112,4,Israel Mukuamu,South Carolina,CB,Detroit,+2,8,2021-03-24,South Carolina
113,4,Tony Poljan,Virginia,TE,Carolina,-8,8,2021-03-24,Virginia
114,4,Rodarius Williams,Oklahoma State,CB,Denver,-12,8,2021-03-24,Oklahoma
115,4,Ar'Darius Washington,TCU,S,Dallas,-2,8,2021-03-24,Texas
116,4,Jonathan Marshall,Arkansas,DL1T,NY Giants,-11,8,2021-03-24,Arkansas
117,4,Benjamin St-Juste,Minnesota,CB,San Francisco,-60,8,2021-03-24,Minnesota
118,4,Aaron Banks,Notre Dame,OG,LA Chargers,+0,8,2021-03-24,Indiana
119,4,Jaelon Darden,North Texas,WRS,Minnesota,+29,8,2021-03-24,Texas
120,4,Anthony Schwartz,Auburn,WR,New England,+15,8,2021-03-24,Alabama
121,4,Marlon Williams,UCF,WR,Las Vegas (Trade),+13,8,2021-03-24,Florida
